Zeit	Person	Die Zeit wartet auf keinen Menschen.
Jahr	Weg	Dieses Jahr habe ich einen neuen Weg zum Erfolg gefunden.
Tag	Sache	Jeder Tag bringt neue Dinge zu entdecken.
Mann	Frau	Der Mann und die Frau gingen Hand in Hand.
Leben	Kind	Das Wunder des Lebens ist in jedem Kind zu sehen.
Welt	Schule	Bildung öffnet die Türen zur Welt außerhalb der Schule.
Staat	Familie	Der Zustand der Familie betrifft uns alle.
Land	Schüler	Jedes Land ist bestrebt, seinen Schülern eine hochwertige Bildung zu bieten.
Problem	Gruppe	Probleme lassen sich in einer Gruppe leichter lösen.
Hand	Teil	Seine Hand ist ein wesentlicher Teil seines künstlerischen Talents.
Ort	Fall	Untersuchen wir jeden Ort, falls wir etwas übersehen haben.
Woche	Gesellschaft	Die Woche verging wie im Flug in der Gesellschaft guter Freunde.
System	Programm	Das neue Betriebssystem steigert die Programmleistung.
Frage	Regierung	Die Bürger haben das Recht, ihre Regierung zu hinterfragen.
Arbeit	Zahl	Harte Arbeit führt zu einer größeren Anzahl von Möglichkeiten.
Nacht	Punkt	In dieser Nacht hat sie ihren Standpunkt klar gemacht.
Heimat	Wasser	Zuhause ist dort, wo sich das Wasser immer vertraut anfühlt.
Zimmer	Mutter	Das Zimmer des Babys wurde von seiner Mutter liebevoll eingerichtet.
Gegend	Geld	In dieser Gegend der Stadt braucht man viel Geld, um gut zu leben.
Geschichte	Tatsache	Manchmal ist eine Geschichte seltsamer als eine Tatsache.
Monat	Menge	In einem Monat kann eine Menge passieren.
Richtig	Studium	Die Wahl des richtigen Studienganges ist entscheidend für den Erfolg.
Buch	Auge	Das Buch fiel ihr sofort ins Auge, als sie den Laden betrat.
Job	Wort	Seine Aufgabe ist es, das Wort über Umweltschutz zu verbreiten.
Geschäft	Problem	Das ungelöste Problem beeinträchtigte das gesamte Geschäft.
Seite	Freundlich	Sie sieht immer das Gute im Menschen, egal was passiert.
Kopf	Haus	Das Oberhaupt des Haushalts sorgt dafür, dass alles reibungslos läuft.
Dienst	Freund	Wahre Freundschaft ist ein Dienst am Nächsten.
Vater	Macht	Als Vater hat er große Macht, das Leben seiner Kinder zu gestalten.
Stunde	Spiel	Treffen wir uns in einer Stunde für ein kurzes Spiel.
Linie	Ende	Die Ziellinie markiert das Ende des Rennens.
Mitglied	Gesetz	Jedes Mitglied der Gesellschaft muss sich an das Gesetz halten.
Auto	Stadt	Die belebten Straßen der Stadt sind voll mit Autos.
Gemeinschaft	Mannschaft	Die Gemeinschaft hat sich zusammengetan, um die lokale Mannschaft zu unterstützen.
Name	Minute	Ihr Name wird noch lange nach Ablauf der Minute in Erinnerung bleiben.
Präsident	Gesundheit	Die Gesundheit des Präsidenten ist eine Angelegenheit von nationaler Bedeutung.
Information	Nacht	Sie hat bis spät in die Nacht Informationen gesammelt.
Zurück	Zuhause	Nach einer langen Reise ist es gut, wieder zu Hause zu sein.
Seite	Party	Er blätterte die Seite um, um die Details der Party zu finden.
Schule	Vater	Die Schule hat angerufen, um den Vater über die Fortschritte seines Kindes zu informieren.
Ziel	Forschung	Sein Ziel ist es, einen Beitrag zur wissenschaftlichen Forschung zu leisten.
Idee	Geist	Die revolutionäre Idee hat ihn umgehauen.
System	Hand	Das neue System arbeitet Hand in Hand mit bestehenden Verfahren.
Körper	Frau	Sie ist stolz auf ihren Körper als Frau.
Programm	Spiel	Das Programm ermöglicht es Ihnen, Ihr Spielerlebnis individuell zu gestalten.
Frage	Stunde	Es gibt nie einen falschen Zeitpunkt, um eine Frage zu stellen.
Frau	Punkt	Die Frau hat in der Diskussion einen guten Standpunkt vertreten.
Geschäft	Kind	Geschäft und Kindererziehung unter einen Hut zu bringen, ist eine Herausforderung.
Welt	Regierung	Die Handlungen der Regierung haben Auswirkungen auf die ganze Welt.
Party	Gruppe	Wir sollten die ganze Gruppe zur Party einladen.
Unternehmen	Anzahl	Das Unternehmen hat eine große Anzahl neuer Mitarbeiter eingestellt.
Woche	Problem	Jede Woche scheint ein neues Problem zu bringen.
Nacht	Arbeit	Er zieht es vor, nachts zu arbeiten, wenn es ruhig ist.
Punkt	Kind	Ihr Punkt hat das Kind in uns allen angesprochen.
Haus	System	Das intelligente Heimsystem vereinfacht die täglichen Aufgaben.
Land	Problem	Armut ist in vielen Ländern nach wie vor ein großes Problem.
Ende	Fall	Das ist das Ende des Falles, soweit es mich betrifft.
Mitglied	Schule	Sie ist ein geschätztes Mitglied der Schulgemeinschaft.
Mutter	Nacht	Die Mutter ist die ganze Nacht aufgeblieben, um sich um ihr krankes Kind zu kümmern.
Vater	Programm	Der Vater meldete seinen Sohn bei einem Musikprogramm an.
Junge	Problem	Hausarrest war das letzte Problem des Jungen.
Wasser	Teil	Wasser ist ein wesentlicher Bestandteil des menschlichen Überlebens.
Stadt	Seite	Das Leben in der Stadt bietet viele Möglichkeiten.
Geschäft	Ort	Dieses Geschäft ist die erste Adresse für Qualitätsprodukte.
Welt	Grenze	Die Armutsgrenze ist für viele Menschen auf der Welt eine harte Realität.
Leben	Freund	Ein Freund bereichert dein Leben auf unzählige Arten.
Staat	Problem	Die Landesregierung hat sich mit dem dringenden Problem der Obdachlosigkeit befasst.
Schule	Frau	Die Frau arbeitet ehrenamtlich in der örtlichen Schule.
Frage	Stadt	Der Bürgermeister hielt eine Bürgerversammlung ab, um Fragen der Bürger zur Stadtplanung zu beantworten.
Unternehmen	System	Das Unternehmen hat ein neues System zur Bestandsverfolgung eingeführt.
Zahl	Gruppe	Eine große Anzahl von Studenten bildete eine Studiengruppe.
Seite	Familie	Sie ist immer da, egal auf welcher Seite der Familie.
Haus	Wort	Sein Wort ist so fest wie das Fundament seines Hauses.
Punkt	Spiel	Den Siegpunkt im Spiel zu erzielen, war berauschend.
Job	Tatsache	Einen Job zu finden, ist eine Tatsache des Erwachsenenlebens.
Schule	Forschung	Die Schule ermutigt die Schüler, sich mit wissenschaftlicher Forschung zu beschäftigen.
Gemeinschaft	Körper	Die Gemeinschaft kam zusammen, um ein Mitglied zu unterstützen, das einen neuen Körper für seinen Rollstuhl brauchte.
Präsident	Thema	Der Präsident wendet sich an die Nation und spricht über das dringende Problem des Klimawandels.
Freund	Frage	Ein wahrer Freund wird dich nie dafür verurteilen, dass du Fragen stellst.
Vater	Woche	Der Vater verbringt jede Woche viel Zeit mit seinen Kindern.
Computer	System	Das Computersystem ist aufgrund eines Virus abgestürzt.
Frau	Geschäft	Sie führt ein erfolgreiches Unternehmen als Unternehmerin.
Haus	Problem	Ein undichtes Dach wurde zu einem großen Problem für den Hauseigentümer.
System	Gemeinschaft	Das neue System kommt der gesamten Gemeinschaft zugute.
Programm	Wort	Der Erfolg des Programms hat sich durch Mundpropaganda herumgesprochen.
Staat	Problem	Die Legislative des Bundesstaates debattierte über das brisante Thema der Besteuerung.
Team	Unternehmen	Das Unternehmen arbeitet als ein zusammenhängendes Team.
Unternehmen	Familie	Das Unternehmen behandelt seine Mitarbeiter wie eine Familie.
Tag	Freund	Jeder mit einem Freund verbrachte Tag ist ein gut gelebter Tag.
Frau	Mitglied	Sie ist ein geschätztes Mitglied des Frauenclubs.
Dienstleistung	Problem	Hervorragender Kundenservice ist das A und O, ganz gleich, um welches Problem es sich handelt.
Weg	Schule	Es gibt mehr als einen Weg, um in der Schule erfolgreich zu sein.
Haus	Problem	Das Klempnerproblem wurde zu einem Problem.
